short_title,title,code or value,description,count,Lookup,Column
PEASCST1,PEASCST1 - Blood Pressure Status,1,Complete,9493,PEASCST1_1,PEASCST1_Complete
PEASCST1,PEASCST1 - Blood Pressure Status,2,Partial,3,PEASCST1_2,PEASCST1_Partial
PEASCST1,PEASCST1 - Blood Pressure Status,3,Not done,317,PEASCST1_3,PEASCST1_Not done
PEASCST1,PEASCST1 - Blood Pressure Status,.,Missing,0,PEASCST1_.,PEASCST1_Missing
PEASCTM1,PEASCTM1 - Blood Pressure Time in Seconds,7 to 2868,Range of Values,9508,PEASCTM1_7 to 2868,PEASCTM1_Range of Values
PEASCTM1,PEASCTM1 - Blood Pressure Time in Seconds,.,Missing,305,PEASCTM1_.,PEASCTM1_Missing
PEASCCT1,PEASCCT1 - Blood Pressure Comment,1,Safety exclusion,4,PEASCCT1_1,PEASCCT1_Safety exclusion
PEASCCT1,PEASCCT1 - Blood Pressure Comment,2,SP refusal,16,PEASCCT1_2,PEASCCT1_SP refusal
PEASCCT1,PEASCCT1 - Blood Pressure Comment,3,No time,7,PEASCCT1_3,PEASCCT1_No time
PEASCCT1,PEASCCT1 - Blood Pressure Comment,4,Physical limitation,14,PEASCCT1_4,PEASCCT1_Physical limitation
PEASCCT1,PEASCCT1 - Blood Pressure Comment,5,Communication problem,1,PEASCCT1_5,PEASCCT1_Communication problem
PEASCCT1,PEASCCT1 - Blood Pressure Comment,6,Equipment failure,1,PEASCCT1_6,PEASCCT1_Equipment failure
PEASCCT1,PEASCCT1 - Blood Pressure Comment,7,SP ill/emergency,12,PEASCCT1_7,PEASCCT1_SP ill/emergency
PEASCCT1,PEASCCT1 - Blood Pressure Comment,56,Came late/left early,184,PEASCCT1_56,PEASCCT1_Came late/left early
PEASCCT1,PEASCCT1 - Blood Pressure Comment,72,Error (technician/software/supply),3,PEASCCT1_72,PEASCCT1_Error (technician/software/supply)
PEASCCT1,PEASCCT1 - Blood Pressure Comment,84,SP with child,4,PEASCCT1_84,PEASCCT1_SP with child
PEASCCT1,PEASCCT1 - Blood Pressure Comment,99,"Other, specify",69,PEASCCT1_99,"PEASCCT1_Other, specify"
PEASCCT1,PEASCCT1 - Blood Pressure Comment,122,Language barrier,5,PEASCCT1_122,PEASCCT1_Language barrier
PEASCCT1,PEASCCT1 - Blood Pressure Comment,.,Missing,9493,PEASCCT1_.,PEASCCT1_Missing
BPXCHR,BPXCHR - 60 sec HR (30 sec HR * 2),60 to 178,Range of Values,1961,BPXCHR_60 to 178,BPXCHR_Range of Values
BPXCHR,BPXCHR - 60 sec HR (30 sec HR * 2),.,Missing,7852,BPXCHR_.,BPXCHR_Missing
BPAARM,BPAARM - Arm selected,1,Right,7480,BPAARM_1,BPAARM_Right
BPAARM,BPAARM - Arm selected,2,Left,54,BPAARM_2,BPAARM_Left
BPAARM,BPAARM - Arm selected,8,Could not obtain,1,BPAARM_8,BPAARM_Could not obtain
BPAARM,BPAARM - Arm selected,.,Missing,2278,BPAARM_.,BPAARM_Missing
BPACSZ,BPACSZ - Coded cuff size,1,Infant (6X12),2,BPACSZ_1,BPACSZ_Infant (6X12)
BPACSZ,BPACSZ - Coded cuff size,2,Child (9X17),450,BPACSZ_2,BPACSZ_Child (9X17)
BPACSZ,BPACSZ - Coded cuff size,3,Adult (12X22),2590,BPACSZ_3,BPACSZ_Adult (12X22)
BPACSZ,BPACSZ - Coded cuff size,4,Large (15X32),3452,BPACSZ_4,BPACSZ_Large (15X32)
BPACSZ,BPACSZ - Coded cuff size,5,Thigh (18X35),1048,BPACSZ_5,BPACSZ_Thigh (18X35)
BPACSZ,BPACSZ - Coded cuff size,.,Missing,2271,BPACSZ_.,BPACSZ_Missing
BPXPLS,BPXPLS - 60 sec. pulse (30 sec. pulse * 2),40 to 180,Range of Values,7549,BPXPLS_40 to 180,BPXPLS_Range of Values
BPXPLS,BPXPLS - 60 sec. pulse (30 sec. pulse * 2),.,Missing,2264,BPXPLS_.,BPXPLS_Missing
BPXPULS,BPXPULS - Pulse regular or irregular?,1,Regular,9381,BPXPULS_1,BPXPULS_Regular
BPXPULS,BPXPULS - Pulse regular or irregular?,2,Irregular,130,BPXPULS_2,BPXPULS_Irregular
BPXPULS,BPXPULS - Pulse regular or irregular?,.,Missing,302,BPXPULS_.,BPXPULS_Missing
BPXPTY,BPXPTY - Pulse type,1,Radial,7531,BPXPTY_1,BPXPTY_Radial
BPXPTY,BPXPTY - Pulse type,2,Brachial,33,BPXPTY_2,BPXPTY_Brachial
BPXPTY,BPXPTY - Pulse type,8,Could not obtain,0,BPXPTY_8,BPXPTY_Could not obtain
BPXPTY,BPXPTY - Pulse type,.,Missing,2249,BPXPTY_.,BPXPTY_Missing
BPXML1,BPXML1 - MIL: maximum inflation levels (mm Hg),100 to 240,Range of Values,7539,BPXML1_100 to 240,BPXML1_Range of Values
BPXML1,BPXML1 - MIL: maximum inflation levels (mm Hg),888,Could not obtain,14,BPXML1_888,BPXML1_Could not obtain
BPXML1,BPXML1 - MIL: maximum inflation levels (mm Hg),.,Missing,2260,BPXML1_.,BPXML1_Missing
BPXSY1,BPXSY1 - Systolic: Blood pres (1st rdg) mm Hg,66 to 228,Range of Values,7172,BPXSY1_66 to 228,BPXSY1_Range of Values
BPXSY1,BPXSY1 - Systolic: Blood pres (1st rdg) mm Hg,.,Missing,2641,BPXSY1_.,BPXSY1_Missing
BPXDI1,BPXDI1 - Diastolic: Blood pres (1st rdg) mm Hg,0 to 122,Range of Values,7172,BPXDI1_0 to 122,BPXDI1_Range of Values
BPXDI1,BPXDI1 - Diastolic: Blood pres (1st rdg) mm Hg,.,Missing,2641,BPXDI1_.,BPXDI1_Missing
BPAEN1,BPAEN1 - Enhancement used first reading,1,Yes,85,BPAEN1_1,BPAEN1_Yes
BPAEN1,BPAEN1 - Enhancement used first reading,2,No,7454,BPAEN1_2,BPAEN1_No
BPAEN1,BPAEN1 - Enhancement used first reading,8,Could not obtain,0,BPAEN1_8,BPAEN1_Could not obtain
BPAEN1,BPAEN1 - Enhancement used first reading,.,Missing,2274,BPAEN1_.,BPAEN1_Missing
BPXSY2,BPXSY2 - Systolic: Blood pres (2nd rdg) mm Hg,66 to 230,Range of Values,7409,BPXSY2_66 to 230,BPXSY2_Range of Values
BPXSY2,BPXSY2 - Systolic: Blood pres (2nd rdg) mm Hg,.,Missing,2404,BPXSY2_.,BPXSY2_Missing
BPXDI2,BPXDI2 - Diastolic: Blood pres (2nd rdg) mm Hg,0 to 116,Range of Values,7409,BPXDI2_0 to 116,BPXDI2_Range of Values
BPXDI2,BPXDI2 - Diastolic: Blood pres (2nd rdg) mm Hg,.,Missing,2404,BPXDI2_.,BPXDI2_Missing
BPAEN2,BPAEN2 - Enhancement used second reading,1,Yes,347,BPAEN2_1,BPAEN2_Yes
BPAEN2,BPAEN2 - Enhancement used second reading,2,No,7190,BPAEN2_2,BPAEN2_No
BPAEN2,BPAEN2 - Enhancement used second reading,8,Could not obtain,0,BPAEN2_8,BPAEN2_Could not obtain
BPAEN2,BPAEN2 - Enhancement used second reading,.,Missing,2276,BPAEN2_.,BPAEN2_Missing
BPXSY3,BPXSY3 - Systolic: Blood pres (3rd rdg) mm Hg,62 to 228,Range of Values,7408,BPXSY3_62 to 228,BPXSY3_Range of Values
BPXSY3,BPXSY3 - Systolic: Blood pres (3rd rdg) mm Hg,.,Missing,2405,BPXSY3_.,BPXSY3_Missing
BPXDI3,BPXDI3 - Diastolic: Blood pres (3rd rdg) mm Hg,0 to 118,Range of Values,7408,BPXDI3_0 to 118,BPXDI3_Range of Values
BPXDI3,BPXDI3 - Diastolic: Blood pres (3rd rdg) mm Hg,.,Missing,2405,BPXDI3_.,BPXDI3_Missing
BPAEN3,BPAEN3 - Enhancement used third reading,1,Yes,276,BPAEN3_1,BPAEN3_Yes
BPAEN3,BPAEN3 - Enhancement used third reading,2,No,7261,BPAEN3_2,BPAEN3_No
BPAEN3,BPAEN3 - Enhancement used third reading,8,Could not obtain,0,BPAEN3_8,BPAEN3_Could not obtain
BPAEN3,BPAEN3 - Enhancement used third reading,.,Missing,2276,BPAEN3_.,BPAEN3_Missing
BPXSY4,BPXSY4 - Systolic: Blood pres (4th rdg) mm Hg,80 to 212,Range of Values,515,BPXSY4_80 to 212,BPXSY4_Range of Values
BPXSY4,BPXSY4 - Systolic: Blood pres (4th rdg) mm Hg,.,Missing,9298,BPXSY4_.,BPXSY4_Missing
BPXDI4,BPXDI4 - Diastolic: Blood pres (4th rdg) mm Hg,0 to 128,Range of Values,515,BPXDI4_0 to 128,BPXDI4_Range of Values
BPXDI4,BPXDI4 - Diastolic: Blood pres (4th rdg) mm Hg,.,Missing,9298,BPXDI4_.,BPXDI4_Missing
BPAEN4,BPAEN4 - Enhancement used fourth reading,1,Yes,68,BPAEN4_1,BPAEN4_Yes
BPAEN4,BPAEN4 - Enhancement used fourth reading,2,No,494,BPAEN4_2,BPAEN4_No
BPAEN4,BPAEN4 - Enhancement used fourth reading,8,Could not obtain,0,BPAEN4_8,BPAEN4_Could not obtain
BPAEN4,BPAEN4 - Enhancement used fourth reading,.,Missing,9251,BPAEN4_.,BPAEN4_Missing
BMDSTATS,BMDSTATS - Body Measures Component Status Code,1,Complete data for age group,9003,BMDSTATS_1,BMDSTATS_Complete data for age group
BMDSTATS,BMDSTATS - Body Measures Component Status Code,2,Partial:  Only height and weight obtained,317,BMDSTATS_2,BMDSTATS_Partial:  Only height and weight obtained
BMDSTATS,BMDSTATS - Body Measures Component Status Code,3,Other partial exam,423,BMDSTATS_3,BMDSTATS_Other partial exam
BMDSTATS,BMDSTATS - Body Measures Component Status Code,4,No body measures exam data,70,BMDSTATS_4,BMDSTATS_No body measures exam data
BMDSTATS,BMDSTATS - Body Measures Component Status Code,.,Missing,0,BMDSTATS_.,BMDSTATS_Missing
BMXWT,BMXWT - Weight (kg),3.1 to 222.6,Range of Values,9723,BMXWT_3.1 to 222.6,BMXWT_Range of Values
BMXWT,BMXWT - Weight (kg),.,Missing,90,BMXWT_.,BMXWT_Missing
BMIWT,BMIWT - Weight Comment,1,Could not obtain,17,BMIWT_1,BMIWT_Could not obtain
BMIWT,BMIWT - Weight Comment,2,Exceeds capacity,0,BMIWT_2,BMIWT_Exceeds capacity
BMIWT,BMIWT - Weight Comment,3,Clothing,346,BMIWT_3,BMIWT_Clothing
BMIWT,BMIWT - Weight Comment,4,Medical appliance,21,BMIWT_4,BMIWT_Medical appliance
BMIWT,BMIWT - Weight Comment,.,Missing,9429,BMIWT_.,BMIWT_Missing
BMXRECUM,BMXRECUM - Recumbent Length (cm) ,48.6 to 115.1,Range of Values,1065,BMXRECUM_48.6 to 115.1,BMXRECUM_Range of Values
BMXRECUM,BMXRECUM - Recumbent Length (cm) ,.,Missing,8748,BMXRECUM_.,BMXRECUM_Missing
BMIRECUM,BMIRECUM - Recumbent Length Comment,1,Could not obtain,31,BMIRECUM_1,BMIRECUM_Could not obtain
BMIRECUM,BMIRECUM - Recumbent Length Comment,2,Exceeds capacity,0,BMIRECUM_2,BMIRECUM_Exceeds capacity
BMIRECUM,BMIRECUM - Recumbent Length Comment,3,Not straight,0,BMIRECUM_3,BMIRECUM_Not straight
BMIRECUM,BMIRECUM - Recumbent Length Comment,.,Missing,9782,BMIRECUM_.,BMIRECUM_Missing
BMXHEAD,BMXHEAD - Head Circumference (cm) ,33.8 to 46.8,Range of Values,229,BMXHEAD_33.8 to 46.8,BMXHEAD_Range of Values
BMXHEAD,BMXHEAD - Head Circumference (cm) ,.,Missing,9584,BMXHEAD_.,BMXHEAD_Missing
BMIHEAD,BMIHEAD - Head Circumference Comment,1,Could not obtain,0,BMIHEAD_1,BMIHEAD_Could not obtain
BMIHEAD,BMIHEAD - Head Circumference Comment,.,Missing,9813,BMIHEAD_.,BMIHEAD_Missing
BMXHT,BMXHT - Standing Height (cm),79.7 to 202.6,Range of Values,9067,BMXHT_79.7 to 202.6,BMXHT_Range of Values
BMXHT,BMXHT - Standing Height (cm),.,Missing,746,BMXHT_.,BMXHT_Missing
BMIHT,BMIHT - Standing Height Comment,1,Could not obtain,39,BMIHT_1,BMIHT_Could not obtain
BMIHT,BMIHT - Standing Height Comment,2,Exceeds capacity,0,BMIHT_2,BMIHT_Exceeds capacity
BMIHT,BMIHT - Standing Height Comment,3,Not straight,182,BMIHT_3,BMIHT_Not straight
BMIHT,BMIHT - Standing Height Comment,.,Missing,9592,BMIHT_.,BMIHT_Missing
BMXBMI,BMXBMI - Body Mass Index (kg/m**2),12.1 to 82.9,Range of Values,9055,BMXBMI_12.1 to 82.9,BMXBMI_Range of Values
BMXBMI,BMXBMI - Body Mass Index (kg/m**2),.,Missing,758,BMXBMI_.,BMXBMI_Missing
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,1,Underweight,132,BMDBMIC_1,BMDBMIC_Underweight
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,2,Normal weight,2167,BMDBMIC_2,BMDBMIC_Normal weight
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,3,Overweight,595,BMDBMIC_3,BMDBMIC_Overweight
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,4,Obese,629,BMDBMIC_4,BMDBMIC_Obese
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,.,Missing,6290,BMDBMIC_.,BMDBMIC_Missing
BMXLEG,BMXLEG - Upper Leg Length (cm),24.4 to 51.9,Range of Values,7402,BMXLEG_24.4 to 51.9,BMXLEG_Range of Values
BMXLEG,BMXLEG - Upper Leg Length (cm),.,Missing,2411,BMXLEG_.,BMXLEG_Missing
BMILEG,BMILEG - Upper Leg Length Comment,1,Could not obtain,350,BMILEG_1,BMILEG_Could not obtain
BMILEG,BMILEG - Upper Leg Length Comment,.,Missing,9463,BMILEG_.,BMILEG_Missing
BMXARML,BMXARML - Upper Arm Length (cm),9.9 to 47.9,Range of Values,9301,BMXARML_9.9 to 47.9,BMXARML_Range of Values
BMXARML,BMXARML - Upper Arm Length (cm),.,Missing,512,BMXARML_.,BMXARML_Missing
BMIARML,BMIARML - Upper Arm Length Comment,1,Could not obtain,368,BMIARML_1,BMIARML_Could not obtain
BMIARML,BMIARML - Upper Arm Length Comment,.,Missing,9445,BMIARML_.,BMIARML_Missing
BMXARMC,BMXARMC - Arm Circumference (cm),10.4 to 59.4,Range of Values,9301,BMXARMC_10.4 to 59.4,BMXARMC_Range of Values
BMXARMC,BMXARMC - Arm Circumference (cm),.,Missing,512,BMXARMC_.,BMXARMC_Missing
BMIARMC,BMIARMC - Arm Circumference Comment,1,Could not obtain,372,BMIARMC_1,BMIARMC_Could not obtain
BMIARMC,BMIARMC - Arm Circumference Comment,.,Missing,9441,BMIARMC_.,BMIARMC_Missing
BMXWAIST,BMXWAIST - Waist Circumference (cm),40.2 to 177.9,Range of Values,8661,BMXWAIST_40.2 to 177.9,BMXWAIST_Range of Values
BMXWAIST,BMXWAIST - Waist Circumference (cm),.,Missing,1152,BMXWAIST_.,BMXWAIST_Missing
BMIWAIST,BMIWAIST - Waist Circumference Comment,1,Could not obtain,439,BMIWAIST_1,BMIWAIST_Could not obtain
BMIWAIST,BMIWAIST - Waist Circumference Comment,.,Missing,9374,BMIWAIST_.,BMIWAIST_Missing
BMXSAD1,BMXSAD1 - Sagittal Abdominal Diameter 1st (cm),10 to 40.2,Range of Values,7218,BMXSAD1_10 to 40.2,BMXSAD1_Range of Values
BMXSAD1,BMXSAD1 - Sagittal Abdominal Diameter 1st (cm),.,Missing,2595,BMXSAD1_.,BMXSAD1_Missing
BMXSAD2,BMXSAD2 - Sagittal Abdominal Diameter 2nd (cm),10.2 to 40.2,Range of Values,7218,BMXSAD2_10.2 to 40.2,BMXSAD2_Range of Values
BMXSAD2,BMXSAD2 - Sagittal Abdominal Diameter 2nd (cm),.,Missing,2595,BMXSAD2_.,BMXSAD2_Missing
BMXSAD3,BMXSAD3 - Sagittal Abdominal Diameter 3rd (cm),10.9 to 35.6,Range of Values,358,BMXSAD3_10.9 to 35.6,BMXSAD3_Range of Values
BMXSAD3,BMXSAD3 - Sagittal Abdominal Diameter 3rd (cm),.,Missing,9455,BMXSAD3_.,BMXSAD3_Missing
BMXSAD4,BMXSAD4 - Sagittal Abdominal Diameter 4th (cm),11 to 35.6,Range of Values,358,BMXSAD4_11 to 35.6,BMXSAD4_Range of Values
BMXSAD4,BMXSAD4 - Sagittal Abdominal Diameter 4th (cm),.,Missing,9455,BMXSAD4_.,BMXSAD4_Missing
BMDAVSAD,BMDAVSAD - Average Sagittal Abdominal Diameter (cm),10.1 to 40.1,Range of Values,7218,BMDAVSAD_10.1 to 40.1,BMDAVSAD_Range of Values
BMDAVSAD,BMDAVSAD - Average Sagittal Abdominal Diameter (cm),.,Missing,2595,BMDAVSAD_.,BMDAVSAD_Missing
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,1,Could not obtain,444,BMDSADCM_1,BMDSADCM_Could not obtain
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,2,SP unable to comply with exam instruction,19,BMDSADCM_2,BMDSADCM_SP unable to comply with exam instruction
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,3,SP discomfort,1,BMDSADCM_3,BMDSADCM_SP discomfort
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,4,Use of positioning cushion,16,BMDSADCM_4,BMDSADCM_Use of positioning cushion
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,5,Other,4,BMDSADCM_5,BMDSADCM_Other
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,.,Missing,9329,BMDSADCM_.,BMDSADCM_Missing
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,1,Complete,8633,OHDEXSTS_1,OHDEXSTS_Complete
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,2,Partial,333,OHDEXSTS_2,OHDEXSTS_Partial
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,3,Not Done,456,OHDEXSTS_3,OHDEXSTS_Not Done
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,.,Missing,0,OHDEXSTS_.,OHDEXSTS_Missing
OHDDESTS,OHDDESTS - Dentition Status Code,1,Complete,8964,OHDDESTS_1,OHDDESTS_Complete
OHDDESTS,OHDDESTS - Dentition Status Code,2,Partial,2,OHDDESTS_2,OHDDESTS_Partial
OHDDESTS,OHDDESTS - Dentition Status Code,3,Not Done,456,OHDDESTS_3,OHDDESTS_Not Done
OHDDESTS,OHDDESTS - Dentition Status Code,.,Missing,0,OHDDESTS_.,OHDDESTS_Missing
OHXIMP,OHXIMP - Dental Implant: yes / no? ,1,Yes,142,OHXIMP_1,OHXIMP_Yes
OHXIMP,OHXIMP - Dental Implant: yes / no? ,2,No,4177,OHXIMP_2,OHXIMP_No
OHXIMP,OHXIMP - Dental Implant: yes / no? ,.,Missing,5103,OHXIMP_.,OHXIMP_Missing
OHX01TC,OHX01TC - Tooth Count:  #1,1,Primary tooth (deciduous) present,0,OHX01TC_1,OHX01TC_Primary tooth (deciduous) present
OHX01TC,OHX01TC - Tooth Count:  #1,2,Permanent tooth present,1339,OHX01TC_2,OHX01TC_Permanent tooth present
OHX01TC,OHX01TC - Tooth Count:  #1,3,Dental implant,0,OHX01TC_3,OHX01TC_Dental implant
OHX01TC,OHX01TC - Tooth Count:  #1,4,Tooth not present,7578,OHX01TC_4,OHX01TC_Tooth not present
OHX01TC,OHX01TC - Tooth Count:  #1,5,Permanent dental root fragment present,51,OHX01TC_5,OHX01TC_Permanent dental root fragment present
OHX01TC,OHX01TC - Tooth Count:  #1,9,Could not assess,0,OHX01TC_9,OHX01TC_Could not assess
OHX01TC,OHX01TC - Tooth Count:  #1,.,Missing,454,OHX01TC_.,OHX01TC_Missing
OHX02TC,OHX02TC - Tooth Count:  #2,1,Primary tooth (deciduous) present,0,OHX02TC_1,OHX02TC_Primary tooth (deciduous) present
OHX02TC,OHX02TC - Tooth Count:  #2,2,Permanent tooth present,5037,OHX02TC_2,OHX02TC_Permanent tooth present
OHX02TC,OHX02TC - Tooth Count:  #2,3,Dental implant,6,OHX02TC_3,OHX02TC_Dental implant
OHX02TC,OHX02TC - Tooth Count:  #2,4,Tooth not present,3844,OHX02TC_4,OHX02TC_Tooth not present
OHX02TC,OHX02TC - Tooth Count:  #2,5,Permanent dental root fragment present,81,OHX02TC_5,OHX02TC_Permanent dental root fragment present
OHX02TC,OHX02TC - Tooth Count:  #2,9,Could not assess,0,OHX02TC_9,OHX02TC_Could not assess
OHX02TC,OHX02TC - Tooth Count:  #2,.,Missing,454,OHX02TC_.,OHX02TC_Missing
OHX03TC,OHX03TC - Tooth Count:  #3,1,Primary tooth (deciduous) present,0,OHX03TC_1,OHX03TC_Primary tooth (deciduous) present
OHX03TC,OHX03TC - Tooth Count:  #3,2,Permanent tooth present,6221,OHX03TC_2,OHX03TC_Permanent tooth present
OHX03TC,OHX03TC - Tooth Count:  #3,3,Dental implant,16,OHX03TC_3,OHX03TC_Dental implant
OHX03TC,OHX03TC - Tooth Count:  #3,4,Tooth not present,2612,OHX03TC_4,OHX03TC_Tooth not present
OHX03TC,OHX03TC - Tooth Count:  #3,5,Permanent dental root fragment present,119,OHX03TC_5,OHX03TC_Permanent dental root fragment present
OHX03TC,OHX03TC - Tooth Count:  #3,9,Could not assess,0,OHX03TC_9,OHX03TC_Could not assess
OHX03TC,OHX03TC - Tooth Count:  #3,.,Missing,454,OHX03TC_.,OHX03TC_Missing
OHX04TC,OHX04TC - Tooth Count:  #4,1,Primary tooth (deciduous) present,1878,OHX04TC_1,OHX04TC_Primary tooth (deciduous) present
OHX04TC,OHX04TC - Tooth Count:  #4,2,Permanent tooth present,5439,OHX04TC_2,OHX04TC_Permanent tooth present
