short_title,title,code or value,description,count,Lookup,Column
WTDRD1,WTDRD1 - Dietary day one sample weight,2493.021655 to 267526.89097,Range of Values,8661,WTDRD1_2493.021655 to 267526.89097,WTDRD1_Range of Values
WTDRD1,WTDRD1 - Dietary day one sample weight,0,Day 1 dietary recall not done/incomplete,1152,WTDRD1_0,WTDRD1_Day 1 dietary recall not done/incomplete
WTDRD1,WTDRD1 - Dietary day one sample weight,.,Missing,0,WTDRD1_.,WTDRD1_Missing
WTDR2D,WTDR2D - Dietary two-day sample weight,1953.802108 to 818626.65723,Range of Values,7574,WTDR2D_1953.802108 to 818626.65723,WTDR2D_Range of Values
WTDR2D,WTDR2D - Dietary two-day sample weight,0,Day 2 dietary recall not done/incomplete,1087,WTDR2D_0,WTDR2D_Day 2 dietary recall not done/incomplete
WTDR2D,WTDR2D - Dietary two-day sample weight,.,Missing,1152,WTDR2D_.,WTDR2D_Missing
DR1DRSTZ,DR1DRSTZ - Dietary recall status,1,Reliable and met the minimum criteria,8531,DR1DRSTZ_1,DR1DRSTZ_Reliable and met the minimum criteria
DR1DRSTZ,DR1DRSTZ - Dietary recall status,2,Not reliable or not met the minimum criteria,122,DR1DRSTZ_2,DR1DRSTZ_Not reliable or not met the minimum criteria
DR1DRSTZ,DR1DRSTZ - Dietary recall status,4,Reported consuming breast-milk,130,DR1DRSTZ_4,DR1DRSTZ_Reported consuming breast-milk
DR1DRSTZ,DR1DRSTZ - Dietary recall status,5,Not done,1030,DR1DRSTZ_5,DR1DRSTZ_Not done
DR1DRSTZ,DR1DRSTZ - Dietary recall status,.,Missing,0,DR1DRSTZ_.,DR1DRSTZ_Missing
DR1EXMER,DR1EXMER - Interviewer ID code,2 to 91,Range of Values,8783,DR1EXMER_2 to 91,DR1EXMER_Range of Values
DR1EXMER,DR1EXMER - Interviewer ID code,.,Missing,1030,DR1EXMER_.,DR1EXMER_Missing
DRABF,DRABF - Breast-fed infant (either day),1,Yes,134,DRABF_1,DRABF_Yes
DRABF,DRABF - Breast-fed infant (either day),2,No,8527,DRABF_2,DRABF_No
DRABF,DRABF - Breast-fed infant (either day),.,Missing,1152,DRABF_.,DRABF_Missing
DRDINT,DRDINT - Number of days of intake,1,Day 1 only,1087,DRDINT_1,DRDINT_Day 1 only
DRDINT,DRDINT - Number of days of intake,2,Day 1 and day 2,7574,DRDINT_2,DRDINT_Day 1 and day 2
DRDINT,DRDINT - Number of days of intake,.,Missing,1152,DRDINT_.,DRDINT_Missing
DR1DBIH,DR1DBIH - # of days b/w intake and HH interview,-31 to 74,Range of Values,8706,DR1DBIH_-31 to 74,DR1DBIH_Range of Values
DR1DBIH,DR1DBIH - # of days b/w intake and HH interview,.,Missing,1107,DR1DBIH_.,DR1DBIH_Missing
DR1DAY,DR1DAY - Intake day of the week,1,Sunday,1460,DR1DAY_1,DR1DAY_Sunday
DR1DAY,DR1DAY - Intake day of the week,2,Monday,698,DR1DAY_2,DR1DAY_Monday
DR1DAY,DR1DAY - Intake day of the week,3,Tuesday,887,DR1DAY_3,DR1DAY_Tuesday
DR1DAY,DR1DAY - Intake day of the week,4,Wednesday,821,DR1DAY_4,DR1DAY_Wednesday
DR1DAY,DR1DAY - Intake day of the week,5,Thursday,728,DR1DAY_5,DR1DAY_Thursday
DR1DAY,DR1DAY - Intake day of the week,6,Friday,2228,DR1DAY_6,DR1DAY_Friday
DR1DAY,DR1DAY - Intake day of the week,7,Saturday,1961,DR1DAY_7,DR1DAY_Saturday
DR1DAY,DR1DAY - Intake day of the week,.,Missing,1030,DR1DAY_.,DR1DAY_Missing
DR1LANG,DR1LANG - Language respondent used mostly,1,English,7862,DR1LANG_1,DR1LANG_English
DR1LANG,DR1LANG - Language respondent used mostly,2,Spanish,716,DR1LANG_2,DR1LANG_Spanish
DR1LANG,DR1LANG - Language respondent used mostly,3,English and Spanish,98,DR1LANG_3,DR1LANG_English and Spanish
DR1LANG,DR1LANG - Language respondent used mostly,4,Other,38,DR1LANG_4,DR1LANG_Other
DR1LANG,DR1LANG - Language respondent used mostly,5,Asian Languages,66,DR1LANG_5,DR1LANG_Asian Languages
DR1LANG,DR1LANG - Language respondent used mostly,6,Asian Languages and English,17,DR1LANG_6,DR1LANG_Asian Languages and English
DR1LANG,DR1LANG - Language respondent used mostly,.,Missing,1016,DR1LANG_.,DR1LANG_Missing
DR1MNRSP,DR1MNRSP - Main respondent for this interview,1,SP,6702,DR1MNRSP_1,DR1MNRSP_SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,2,Mother of SP,1596,DR1MNRSP_2,DR1MNRSP_Mother of SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,3,Father of SP,234,DR1MNRSP_3,DR1MNRSP_Father of SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,4,Wife of SP,8,DR1MNRSP_4,DR1MNRSP_Wife of SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,5,Husband of SP,1,DR1MNRSP_5,DR1MNRSP_Husband of SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,6,Daughter of SP,11,DR1MNRSP_6,DR1MNRSP_Daughter of SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,7,Son of SP,4,DR1MNRSP_7,DR1MNRSP_Son of SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,8,Grandparent of SP,53,DR1MNRSP_8,DR1MNRSP_Grandparent of SP
DR1MNRSP,DR1MNRSP - Main respondent for this interview,9,"Friend, Partner, Non Relative",1,DR1MNRSP_9,"DR1MNRSP_Friend, Partner, Non Relative"
DR1MNRSP,DR1MNRSP - Main respondent for this interview,10,"Translator, not a HH member",2,DR1MNRSP_10,"DR1MNRSP_Translator, not a HH member"
DR1MNRSP,DR1MNRSP - Main respondent for this interview,11,"Child care provider, Caretaker",10,DR1MNRSP_11,"DR1MNRSP_Child care provider, Caretaker"
DR1MNRSP,DR1MNRSP - Main respondent for this interview,12,Other Relative,30,DR1MNRSP_12,DR1MNRSP_Other Relative
DR1MNRSP,DR1MNRSP - Main respondent for this interview,14,Other specify,0,DR1MNRSP_14,DR1MNRSP_Other specify
DR1MNRSP,DR1MNRSP - Main respondent for this interview,77,Refused,0,DR1MNRSP_77,DR1MNRSP_Refused
DR1MNRSP,DR1MNRSP - Main respondent for this interview,99,Don't know,1,DR1MNRSP_99,DR1MNRSP_Don't know
DR1MNRSP,DR1MNRSP - Main respondent for this interview,.,Missing,1160,DR1MNRSP_.,DR1MNRSP_Missing
DR1HELPD,DR1HELPD - Helped in responding for this interview,1,SP,704,DR1HELPD_1,DR1HELPD_SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,2,Mother of SP,338,DR1HELPD_2,DR1HELPD_Mother of SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,3,Father of SP,115,DR1HELPD_3,DR1HELPD_Father of SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,4,Wife of SP,1,DR1HELPD_4,DR1HELPD_Wife of SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,5,Husband of SP,2,DR1HELPD_5,DR1HELPD_Husband of SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,6,Daughter of SP,8,DR1HELPD_6,DR1HELPD_Daughter of SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,7,Son of SP,5,DR1HELPD_7,DR1HELPD_Son of SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,8,Grandparent of SP,17,DR1HELPD_8,DR1HELPD_Grandparent of SP
DR1HELPD,DR1HELPD - Helped in responding for this interview,9,"Friend, Partner, Non Relative",3,DR1HELPD_9,"DR1HELPD_Friend, Partner, Non Relative"
