short_title,title,code or value,description,count,Lookup,Column
ACD011A,ACD011A - Speak English at home - NHW or NHB,1,English,5759,ACD011A_1,ACD011A_English
ACD011A,ACD011A - Speak English at home - NHW or NHB,77,Refused,0,ACD011A_77,ACD011A_Refused
ACD011A,ACD011A - Speak English at home - NHW or NHB,99,Don't know,0,ACD011A_99,ACD011A_Don't know
ACD011A,ACD011A - Speak English at home - NHW or NHB,.,Missing,3471,ACD011A_.,ACD011A_Missing
ACD011B,ACD011B  - Speak Spanish at home - NHW or NHB,8,Spanish,16,ACD011B_8,ACD011B_Spanish
ACD011B,ACD011B  - Speak Spanish at home - NHW or NHB,.,Missing,9214,ACD011B_.,ACD011B_Missing
ACD011C,ACD011C - Speak other language at home -NHW or NHB,9,Other,171,ACD011C_9,ACD011C_Other
ACD011C,ACD011C - Speak other language at home -NHW or NHB,.,Missing,9059,ACD011C_.,ACD011C_Missing
ACD040,ACD040 - Language(s) spoken at home - Hispanics,1,"Only Spanish,",548,ACD040_1,"ACD040_Only Spanish,"
ACD040,ACD040 - Language(s) spoken at home - Hispanics,2,More Spanish than English,321,ACD040_2,ACD040_More Spanish than English
ACD040,ACD040 - Language(s) spoken at home - Hispanics,3,Both equally,444,ACD040_3,ACD040_Both equally
ACD040,ACD040 - Language(s) spoken at home - Hispanics,4,More English than Spanish,483,ACD040_4,ACD040_More English than Spanish
ACD040,ACD040 - Language(s) spoken at home - Hispanics,5,Only English,573,ACD040_5,ACD040_Only English
ACD040,ACD040 - Language(s) spoken at home - Hispanics,7,Refused,1,ACD040_7,ACD040_Refused
ACD040,ACD040 - Language(s) spoken at home - Hispanics,9,Don't know,4,ACD040_9,ACD040_Don't know
ACD040,ACD040 - Language(s) spoken at home - Hispanics,.,Missing,6856,ACD040_.,ACD040_Missing
ACD110,ACD110 - Language(s) spoken at home - Asians,1,Only Non-English language,370,ACD110_1,ACD110_Only Non-English language
ACD110,ACD110 - Language(s) spoken at home - Asians,2,More Non-English than English,91,ACD110_2,ACD110_More Non-English than English
ACD110,ACD110 - Language(s) spoken at home - Asians,3,Both equally,93,ACD110_3,ACD110_Both equally
ACD110,ACD110 - Language(s) spoken at home - Asians,4,More English than Non-English,119,ACD110_4,ACD110_More English than Non-English
ACD110,ACD110 - Language(s) spoken at home - Asians,5,Only English,334,ACD110_5,ACD110_Only English
ACD110,ACD110 - Language(s) spoken at home - Asians,7,Refused,0,ACD110_7,ACD110_Refused
ACD110,ACD110 - Language(s) spoken at home - Asians,9,Don't know,0,ACD110_9,ACD110_Don't know
ACD110,ACD110 - Language(s) spoken at home - Asians,.,Missing,8223,ACD110_.,ACD110_Missing
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,1,Yes,3790,ALQ101_1,ALQ101_Yes
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,2,No,1623,ALQ101_2,ALQ101_No
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,7,Refused,0,ALQ101_7,ALQ101_Refused
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,9,Don't know,8,ALQ101_9,ALQ101_Don't know
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,.,Missing,503,ALQ101_.,ALQ101_Missing
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,1,Yes,689,ALQ110_1,ALQ110_Yes
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,2,No,938,ALQ110_2,ALQ110_No
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,7,Refused,0,ALQ110_7,ALQ110_Refused
