short_title,title,code or value,description,count
URXUMA,"URXUMA - Albumin, urine (ug/mL)",0.21 to 9600,Range of Values,8052
URXUMA,"URXUMA - Albumin, urine (ug/mL)",.,Missing,239
URXUMS,"URXUMS - Albumin, urine (mg/L)",0.21 to 9600,Range of Values,8052
URXUMS,"URXUMS - Albumin, urine (mg/L)",.,Missing,239
URXUCR,"URXUCR - Creatinine, urine (mg/dL)",5 to 659,Range of Values,8052
URXUCR,"URXUCR - Creatinine, urine (mg/dL)",.,Missing,239
URXCRS,"URXCRS - Creatinine, urine (umol/L)",442 to 58255.6,Range of Values,8052
URXCRS,"URXCRS - Creatinine, urine (umol/L)",.,Missing,239
URDACT,URDACT - Albumin creatinine ratio (mg/g),0.21 to 9000,Range of Values,8052
URDACT,URDACT - Albumin creatinine ratio (mg/g),.,Missing,239
WTALD2YR,WTALD2YR - Two Year Aldehyde Subsample Weights ,22540.35398 to 595728.72529,Range of Values,1843
WTALD2YR,WTALD2YR - Two Year Aldehyde Subsample Weights ,0,No Lab Result,481
WTALD2YR,WTALD2YR - Two Year Aldehyde Subsample Weights ,.,Missing,0
LBXBZAL,LBXBZAL - Benzaldehyde (ng/mL),0.326 to 28.2,Range of Values,1468
LBXBZAL,LBXBZAL - Benzaldehyde (ng/mL),.,Missing,856
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,0,At or above detection limit,1391
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,1,Below lower detection limit,77
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,.,Missing,856
LBX4AL,LBX4AL - Butyraldehyde (ng/mL),0.221 to 3.49,Range of Values,1740
LBX4AL,LBX4AL - Butyraldehyde (ng/mL),.,Missing,584
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,0,At or above detection limit,1372
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,1,Below lower detection limit,368
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,.,Missing,584
LBXCRAL,LBXCRAL - Crotonaldehyde (ng/mL),0.104 to 2.44,Range of Values,1733
LBXCRAL,LBXCRAL - Crotonaldehyde (ng/mL),.,Missing,591
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,0,At or above detection limit,582
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,1,Below lower detection limit,1151
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,.,Missing,591
LBX10AL,LBX10AL - Decanaldehyde (ng/mL),2.76 to 13.3,Range of Values,1411
LBX10AL,LBX10AL - Decanaldehyde (ng/mL),.,Missing,913
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,0,At or above detection limit,11
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,1,Below lower detection limit,1400
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,.,Missing,913
LBX7AL,LBX7AL - Heptanaldehyde (ng/mL),0.221 to 3.83,Range of Values,1527
LBX7AL,LBX7AL - Heptanaldehyde (ng/mL),.,Missing,797
