short_title,title,code or value,description,count
PEASCST1,PEASCST1 - Blood Pressure Status,1,Complete,9493
PEASCST1,PEASCST1 - Blood Pressure Status,2,Partial,3
PEASCST1,PEASCST1 - Blood Pressure Status,3,Not done,317
PEASCST1,PEASCST1 - Blood Pressure Status,.,Missing,0
PEASCTM1,PEASCTM1 - Blood Pressure Time in Seconds,7 to 2868,Range of Values,9508
PEASCTM1,PEASCTM1 - Blood Pressure Time in Seconds,.,Missing,305
PEASCCT1,PEASCCT1 - Blood Pressure Comment,1,Safety exclusion,4
PEASCCT1,PEASCCT1 - Blood Pressure Comment,2,SP refusal,16
PEASCCT1,PEASCCT1 - Blood Pressure Comment,3,No time,7
PEASCCT1,PEASCCT1 - Blood Pressure Comment,4,Physical limitation,14
PEASCCT1,PEASCCT1 - Blood Pressure Comment,5,Communication problem,1
PEASCCT1,PEASCCT1 - Blood Pressure Comment,6,Equipment failure,1
PEASCCT1,PEASCCT1 - Blood Pressure Comment,7,SP ill/emergency,12
PEASCCT1,PEASCCT1 - Blood Pressure Comment,56,Came late/left early,184
PEASCCT1,PEASCCT1 - Blood Pressure Comment,72,Error (technician/software/supply),3
PEASCCT1,PEASCCT1 - Blood Pressure Comment,84,SP with child,4
PEASCCT1,PEASCCT1 - Blood Pressure Comment,99,"Other, specify",69
PEASCCT1,PEASCCT1 - Blood Pressure Comment,122,Language barrier,5
PEASCCT1,PEASCCT1 - Blood Pressure Comment,.,Missing,9493
BPXCHR,BPXCHR - 60 sec HR (30 sec HR * 2),60 to 178,Range of Values,1961
BPXCHR,BPXCHR - 60 sec HR (30 sec HR * 2),.,Missing,7852
BPAARM,BPAARM - Arm selected,1,Right,7480
BPAARM,BPAARM - Arm selected,2,Left,54
BPAARM,BPAARM - Arm selected,8,Could not obtain,1
BPAARM,BPAARM - Arm selected,.,Missing,2278
BPACSZ,BPACSZ - Coded cuff size,1,Infant (6X12),2
BPACSZ,BPACSZ - Coded cuff size,2,Child (9X17),450
BPACSZ,BPACSZ - Coded cuff size,3,Adult (12X22),2590
BPACSZ,BPACSZ - Coded cuff size,4,Large (15X32),3452
BPACSZ,BPACSZ - Coded cuff size,5,Thigh (18X35),1048
BPACSZ,BPACSZ - Coded cuff size,.,Missing,2271
BPXPLS,BPXPLS - 60 sec. pulse (30 sec. pulse * 2),40 to 180,Range of Values,7549
BPXPLS,BPXPLS - 60 sec. pulse (30 sec. pulse * 2),.,Missing,2264
BPXPULS,BPXPULS - Pulse regular or irregular?,1,Regular,9381
BPXPULS,BPXPULS - Pulse regular or irregular?,2,Irregular,130
BPXPULS,BPXPULS - Pulse regular or irregular?,.,Missing,302
BPXPTY,BPXPTY - Pulse type,1,Radial,7531
BPXPTY,BPXPTY - Pulse type,2,Brachial,33
BPXPTY,BPXPTY - Pulse type,8,Could not obtain,0
BPXPTY,BPXPTY - Pulse type,.,Missing,2249
BPXML1,BPXML1 - MIL: maximum inflation levels (mm Hg),100 to 240,Range of Values,7539
BPXML1,BPXML1 - MIL: maximum inflation levels (mm Hg),888,Could not obtain,14
BPXML1,BPXML1 - MIL: maximum inflation levels (mm Hg),.,Missing,2260
BPXSY1,BPXSY1 - Systolic: Blood pres (1st rdg) mm Hg,66 to 228,Range of Values,7172
BPXSY1,BPXSY1 - Systolic: Blood pres (1st rdg) mm Hg,.,Missing,2641
BPXDI1,BPXDI1 - Diastolic: Blood pres (1st rdg) mm Hg,0 to 122,Range of Values,7172
BPXDI1,BPXDI1 - Diastolic: Blood pres (1st rdg) mm Hg,.,Missing,2641
BPAEN1,BPAEN1 - Enhancement used first reading,1,Yes,85
BPAEN1,BPAEN1 - Enhancement used first reading,2,No,7454
