short_title,title,code or value,description,count,Lookup,Column
URXUMA,"URXUMA - Albumin, urine (ug/mL)",0.21 to 9600,Range of Values,8052,URXUMA_0.21 to 9600,URXUMA_Range of Values
URXUMA,"URXUMA - Albumin, urine (ug/mL)",.,Missing,239,URXUMA_.,URXUMA_Missing
URXUMS,"URXUMS - Albumin, urine (mg/L)",0.21 to 9600,Range of Values,8052,URXUMS_0.21 to 9600,URXUMS_Range of Values
URXUMS,"URXUMS - Albumin, urine (mg/L)",.,Missing,239,URXUMS_.,URXUMS_Missing
URXUCR,"URXUCR - Creatinine, urine (mg/dL)",5 to 659,Range of Values,8052,URXUCR_5 to 659,URXUCR_Range of Values
URXUCR,"URXUCR - Creatinine, urine (mg/dL)",.,Missing,239,URXUCR_.,URXUCR_Missing
URXCRS,"URXCRS - Creatinine, urine (umol/L)",442 to 58255.6,Range of Values,8052,URXCRS_442 to 58255.6,URXCRS_Range of Values
URXCRS,"URXCRS - Creatinine, urine (umol/L)",.,Missing,239,URXCRS_.,URXCRS_Missing
URDACT,URDACT - Albumin creatinine ratio (mg/g),0.21 to 9000,Range of Values,8052,URDACT_0.21 to 9000,URDACT_Range of Values
URDACT,URDACT - Albumin creatinine ratio (mg/g),.,Missing,239,URDACT_.,URDACT_Missing
WTALD2YR,WTALD2YR - Two Year Aldehyde Subsample Weights ,22540.35398 to 595728.72529,Range of Values,1843,WTALD2YR_22540.35398 to 595728.72529,WTALD2YR_Range of Values
WTALD2YR,WTALD2YR - Two Year Aldehyde Subsample Weights ,0,No Lab Result,481,WTALD2YR_0,WTALD2YR_No Lab Result
WTALD2YR,WTALD2YR - Two Year Aldehyde Subsample Weights ,.,Missing,0,WTALD2YR_.,WTALD2YR_Missing
LBXBZAL,LBXBZAL - Benzaldehyde (ng/mL),0.326 to 28.2,Range of Values,1468,LBXBZAL_0.326 to 28.2,LBXBZAL_Range of Values
LBXBZAL,LBXBZAL - Benzaldehyde (ng/mL),.,Missing,856,LBXBZAL_.,LBXBZAL_Missing
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,0,At or above detection limit,1391,LBDBZLC_0,LBDBZLC_At or above detection limit
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,1,Below lower detection limit,77,LBDBZLC_1,LBDBZLC_Below lower detection limit
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0,LBDBZLC_2,LBDBZLC_Detectable result and exceeds the calibrated range of assay
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,.,Missing,856,LBDBZLC_.,LBDBZLC_Missing
LBX4AL,LBX4AL - Butyraldehyde (ng/mL),0.221 to 3.49,Range of Values,1740,LBX4AL_0.221 to 3.49,LBX4AL_Range of Values
LBX4AL,LBX4AL - Butyraldehyde (ng/mL),.,Missing,584,LBX4AL_.,LBX4AL_Missing
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,0,At or above detection limit,1372,LBD4ALC_0,LBD4ALC_At or above detection limit
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,1,Below lower detection limit,368,LBD4ALC_1,LBD4ALC_Below lower detection limit
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0,LBD4ALC_2,LBD4ALC_Detectable result and exceeds the calibrated range of assay
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,.,Missing,584,LBD4ALC_.,LBD4ALC_Missing
LBXCRAL,LBXCRAL - Crotonaldehyde (ng/mL),0.104 to 2.44,Range of Values,1733,LBXCRAL_0.104 to 2.44,LBXCRAL_Range of Values
LBXCRAL,LBXCRAL - Crotonaldehyde (ng/mL),.,Missing,591,LBXCRAL_.,LBXCRAL_Missing
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,0,At or above detection limit,582,LBDCRLC_0,LBDCRLC_At or above detection limit
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,1,Below lower detection limit,1151,LBDCRLC_1,LBDCRLC_Below lower detection limit
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0,LBDCRLC_2,LBDCRLC_Detectable result and exceeds the calibrated range of assay
