short_title,title,code or value,description,count
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,1,Yes,3790
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,2,No,1623
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,7,Refused,0
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,9,Don't know,8
ALQ101,ALQ101 - Had at least 12 alcohol drinks/1 yr?,.,Missing,503
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,1,Yes,689
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,2,No,938
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,7,Refused,0
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,9,Don't know,4
ALQ110,ALQ110 - Had at least 12 alcohol drinks/lifetime?,.,Missing,4293
ALQ120Q,ALQ120Q - How often drink alcohol over past 12 mos,0 to 365,Range of Values,4475
ALQ120Q,ALQ120Q - How often drink alcohol over past 12 mos,777,Refused,0
ALQ120Q,ALQ120Q - How often drink alcohol over past 12 mos,999,Don't know,4
ALQ120Q,ALQ120Q - How often drink alcohol over past 12 mos,.,Missing,1445
ALQ120U,"ALQ120U - # days drink alcohol per wk, mo, yr",1,Week,1461
ALQ120U,"ALQ120U - # days drink alcohol per wk, mo, yr",2,Month,953
ALQ120U,"ALQ120U - # days drink alcohol per wk, mo, yr",3,Year,1179
ALQ120U,"ALQ120U - # days drink alcohol per wk, mo, yr",7,Refused,0
ALQ120U,"ALQ120U - # days drink alcohol per wk, mo, yr",9,Don't know,0
ALQ120U,"ALQ120U - # days drink alcohol per wk, mo, yr",.,Missing,2331
ALQ130,ALQ130 - Avg # alcoholic drinks/day - past 12 mos,1 to 25,Range of Values,3593
ALQ130,ALQ130 - Avg # alcoholic drinks/day - past 12 mos,777,Refused,0
ALQ130,ALQ130 - Avg # alcoholic drinks/day - past 12 mos,999,Don't know,3
ALQ130,ALQ130 - Avg # alcoholic drinks/day - past 12 mos,.,Missing,2328
ALQ141Q ,ALQ141Q  - # days have 4/5 drinks - past 12 mos,0 to 350,Range of Values,3588
ALQ141Q ,ALQ141Q  - # days have 4/5 drinks - past 12 mos,777,Refused,0
ALQ141Q ,ALQ141Q  - # days have 4/5 drinks - past 12 mos,999,Don't know,7
ALQ141Q ,ALQ141Q  - # days have 4/5 drinks - past 12 mos,.,Missing,2329
ALQ141U ,"ALQ141U  - # days per week, month, year?",1,Week,361
ALQ141U ,"ALQ141U  - # days per week, month, year?",2,Month,264
ALQ141U ,"ALQ141U  - # days per week, month, year?",3,Year,839
ALQ141U ,"ALQ141U  - # days per week, month, year?",7,Refused,0
ALQ141U ,"ALQ141U  - # days per week, month, year?",9,Don't know,0
ALQ141U ,"ALQ141U  - # days per week, month, year?",.,Missing,4460
ALQ151  ,ALQ151   - Ever have 4/5 or more drinks every day?,1,Yes,736
ALQ151  ,ALQ151   - Ever have 4/5 or more drinks every day?,2,No,3740
ALQ151  ,ALQ151   - Ever have 4/5 or more drinks every day?,7,Refused,0
ALQ151  ,ALQ151   - Ever have 4/5 or more drinks every day?,9,Don't know,1
ALQ151  ,ALQ151   - Ever have 4/5 or more drinks every day?,.,Missing,1447
BPQ020,BPQ020 - Ever told you had high blood pressure,1,Yes,2174
BPQ020,BPQ020 - Ever told you had high blood pressure,2,No,4285
BPQ020,BPQ020 - Ever told you had high blood pressure,7,Refused,0
BPQ020,BPQ020 - Ever told you had high blood pressure,9,Don't know,5
BPQ020,BPQ020 - Ever told you had high blood pressure,.,Missing,0
BPQ030,BPQ030 - Told had high blood pressure - 2+ times,1,Yes,1738
BPQ030,BPQ030 - Told had high blood pressure - 2+ times,2,No,428
BPQ030,BPQ030 - Told had high blood pressure - 2+ times,7,Refused,0
BPQ030,BPQ030 - Told had high blood pressure - 2+ times,9,Don't know,8
BPQ030,BPQ030 - Told had high blood pressure - 2+ times,.,Missing,4290
BPD035,BPD035 - Age told had hypertension,10 to 79,Range of Values,2100
BPD035,BPD035 - Age told had hypertension,80,80 years or older,35
BPD035,BPD035 - Age told had hypertension,777,Refused,1
BPD035,BPD035 - Age told had hypertension,999,Don't know,28
BPD035,BPD035 - Age told had hypertension,.,Missing,4300
BPQ040A,BPQ040A - Taking prescription for hypertension,1,Yes,1815
BPQ040A,BPQ040A - Taking prescription for hypertension,2,No,357
BPQ040A,BPQ040A - Taking prescription for hypertension,7,Refused,0
BPQ040A,BPQ040A - Taking prescription for hypertension,9,Don't know,2
BPQ040A,BPQ040A - Taking prescription for hypertension,.,Missing,4290
BPQ050A,BPQ050A - Now taking prescribed medicine for HBP,1,Yes,1586
BPQ050A,BPQ050A - Now taking prescribed medicine for HBP,2,No,228
BPQ050A,BPQ050A - Now taking prescribed medicine for HBP,7,Refused,0
BPQ050A,BPQ050A - Now taking prescribed medicine for HBP,9,Don't know,1
BPQ050A,BPQ050A - Now taking prescribed medicine for HBP,.,Missing,4649
BPQ056,BPQ056 - Take blood pressure at home last 12 mos?,1,Yes,1579
BPQ056,BPQ056 - Take blood pressure at home last 12 mos?,2,No,4883
BPQ056,BPQ056 - Take blood pressure at home last 12 mos?,7,Refused,0
BPQ056,BPQ056 - Take blood pressure at home last 12 mos?,9,Don't know,2
BPQ056,BPQ056 - Take blood pressure at home last 12 mos?,.,Missing,0
BPD058,BPD058 - How often checked BP at home last 12 mos,1 to 2704,Range of Values,1574
BPD058,BPD058 - How often checked BP at home last 12 mos,7777,Refused,0
BPD058,BPD058 - How often checked BP at home last 12 mos,9999,Don't know,5
BPD058,BPD058 - How often checked BP at home last 12 mos,.,Missing,4885
BPQ059,BPQ059 - Doctor tell you to take BP at home?,1,Yes,862
BPQ059,BPQ059 - Doctor tell you to take BP at home?,2,No,5601
BPQ059,BPQ059 - Doctor tell you to take BP at home?,7,Refused,1
BPQ059,BPQ059 - Doctor tell you to take BP at home?,9,Don't know,0
BPQ059,BPQ059 - Doctor tell you to take BP at home?,.,Missing,0
BPQ080,BPQ080 - Doctor told you - high cholesterol level,1,Yes,2037
BPQ080,BPQ080 - Doctor told you - high cholesterol level,2,No,4391
BPQ080,BPQ080 - Doctor told you - high cholesterol level,7,Refused,0
BPQ080,BPQ080 - Doctor told you - high cholesterol level,9,Don't know,36
BPQ080,BPQ080 - Doctor told you - high cholesterol level,.,Missing,0
BPQ060,BPQ060 - Ever had blood cholesterol checked,1,Yes,2583
BPQ060,BPQ060 - Ever had blood cholesterol checked,2,No,1689
BPQ060,BPQ060 - Ever had blood cholesterol checked,7,Refused,3
BPQ060,BPQ060 - Ever had blood cholesterol checked,9,Don't know,152
BPQ060,BPQ060 - Ever had blood cholesterol checked,.,Missing,2037
BPQ070,BPQ070 - When blood cholesterol last checked,1,"Less than 1 year ago,",2998
BPQ070,BPQ070 - When blood cholesterol last checked,2,"1 year but less than 2 years ago,",817
BPQ070,BPQ070 - When blood cholesterol last checked,3,"2 years but less than 5 years ago, or",535
BPQ070,BPQ070 - When blood cholesterol last checked,4,5 years or more?,240
BPQ070,BPQ070 - When blood cholesterol last checked,7,Refused,0
BPQ070,BPQ070 - When blood cholesterol last checked,9,Don't know,30
BPQ070,BPQ070 - When blood cholesterol last checked,.,Missing,1844
BPQ090D,BPQ090D - Told to take prescriptn for cholesterol,1,Yes,1450
BPQ090D,BPQ090D - Told to take prescriptn for cholesterol,2,No,3163
BPQ090D,BPQ090D - Told to take prescriptn for cholesterol,7,Refused,0
BPQ090D,BPQ090D - Told to take prescriptn for cholesterol,9,Don't know,7
BPQ090D,BPQ090D - Told to take prescriptn for cholesterol,.,Missing,1844
BPQ100D,BPQ100D - Now taking prescribed medicine,1,Yes,1136
BPQ100D,BPQ100D - Now taking prescribed medicine,2,No,310
BPQ100D,BPQ100D - Now taking prescribed medicine,7,Refused,0
BPQ100D,BPQ100D - Now taking prescribed medicine,9,Don't know,4
BPQ100D,BPQ100D - Now taking prescribed medicine,.,Missing,5014
CDQ001,CDQ001 - SP ever had pain or discomfort in chest,1,Yes,879
CDQ001,CDQ001 - SP ever had pain or discomfort in chest,2,No,2934
CDQ001,CDQ001 - SP ever had pain or discomfort in chest,7,Refused,0
CDQ001,CDQ001 - SP ever had pain or discomfort in chest,9,Don't know,2
CDQ001,CDQ001 - SP ever had pain or discomfort in chest,.,Missing,0
CDQ002,CDQ002 - SP get it walking uphill or in a hurry,1,Yes,241
CDQ002,CDQ002 - SP get it walking uphill or in a hurry,2,No,591
CDQ002,CDQ002 - SP get it walking uphill or in a hurry,3,Never walks uphill or hurries,42
CDQ002,CDQ002 - SP get it walking uphill or in a hurry,7,Refused,0
CDQ002,CDQ002 - SP get it walking uphill or in a hurry,9,Don't know,5
CDQ002,CDQ002 - SP get it walking uphill or in a hurry,.,Missing,2936
CDQ003,CDQ003 - During an ordinary pace on level ground,1,Yes,111
CDQ003,CDQ003 - During an ordinary pace on level ground,2,No,171
CDQ003,CDQ003 - During an ordinary pace on level ground,7,Refused,0
CDQ003,CDQ003 - During an ordinary pace on level ground,9,Don't know,1
CDQ003,CDQ003 - During an ordinary pace on level ground,.,Missing,3532
CFASTAT,CFASTAT - Cognitive functioning status,1,3 tests,1638
CFASTAT,CFASTAT - Cognitive functioning status,2,2 tests,44
CFASTAT,CFASTAT - Cognitive functioning status,3,1 test,4
CFASTAT,CFASTAT - Cognitive functioning status,4,"Ineligible, proxy",19
CFASTAT,CFASTAT - Cognitive functioning status,5,"Ineligible, other language",16
CFASTAT,CFASTAT - Cognitive functioning status,6,No test done,64
CFASTAT,CFASTAT - Cognitive functioning status,.,Missing,0
CFALANG,CFALANG - Language - Cognitive Functioning,1,English,1488
CFALANG,CFALANG - Language - Cognitive Functioning,2,Spanish,167
CFALANG,CFALANG - Language - Cognitive Functioning,3,Asian language,31
CFALANG,CFALANG - Language - Cognitive Functioning,.,Missing,99
CFDCCS,CFDCCS - CERAD: Completion Status,1,Four completed recalls,1672
CFDCCS,CFDCCS - CERAD: Completion Status,2,One to three completed recalls,9
CFDCCS,CFDCCS - CERAD: Completion Status,3,Not done,5
CFDCCS,CFDCCS - CERAD: Completion Status,.,Missing,99
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,1,Did not consent to audio record,0
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,2,Communication problem,4
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,3,Physical limitation,1
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,4,Quit or gave up,8
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,5,Refused,0
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,6,Equipment failure,1
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,7,Other,0
CFDCRNC,CFDCRNC - CERAD: Reason Not Complete,.,Missing,1771
CFDCST1,CFDCST1 - CERAD: Score Trial 1 Recall,0 to 10,Range of Values,1681
CFDCST1,CFDCST1 - CERAD: Score Trial 1 Recall,.,Missing,104
CFDCST2,CFDCST2 - CERAD: Score Trial 2 Recall,0 to 10,Range of Values,1678
CFDCST2,CFDCST2 - CERAD: Score Trial 2 Recall,.,Missing,107
CFDCST3,CFDCST3 - CERAD: Score Trial 3 Recall,0 to 10,Range of Values,1674
CFDCST3,CFDCST3 - CERAD: Score Trial 3 Recall,.,Missing,111
CFDCSR,CFDCSR - CERAD: Score Delayed Recall,0 to 10,Range of Values,1672
CFDCSR,CFDCSR - CERAD: Score Delayed Recall,.,Missing,113
CFDCIT1,CFDCIT1 - CERAD: Intrusion word count Trial 1,0 to 4,Range of Values,1681
CFDCIT1,CFDCIT1 - CERAD: Intrusion word count Trial 1,.,Missing,104
CFDCIT2,CFDCIT2 - CERAD: Intrusion word count Trial 2,0 to 5,Range of Values,1678
CFDCIT2,CFDCIT2 - CERAD: Intrusion word count Trial 2,.,Missing,107
CFDCIT3,CFDCIT3 - CERAD: Intrusion word count Trial 3,0 to 6,Range of Values,1674
CFDCIT3,CFDCIT3 - CERAD: Intrusion word count Trial 3,.,Missing,111
CFDCIR,CFDCIR - CERAD: Intrusion word count Recall,0 to 8,Range of Values,1672
CFDCIR,CFDCIR - CERAD: Intrusion word count Recall,.,Missing,113
CFDAPP,CFDAPP - Animal Fluency: Sample Practice Pretest,1,Passed,1661
CFDAPP,CFDAPP - Animal Fluency: Sample Practice Pretest,2,Failed,11
CFDAPP,CFDAPP - Animal Fluency: Sample Practice Pretest,3,Not done,14
CFDAPP,CFDAPP - Animal Fluency: Sample Practice Pretest,.,Missing,99
CFDARNC,CFDARNC - Animal Fluency: Reason Not Done,1,Did not consent to audio record,0
CFDARNC,CFDARNC - Animal Fluency: Reason Not Done,2,Communication problem,1
CFDARNC,CFDARNC - Animal Fluency: Reason Not Done,3,Physical limitation,0
CFDARNC,CFDARNC - Animal Fluency: Reason Not Done,5,Refused,2
CFDARNC,CFDARNC - Animal Fluency: Reason Not Done,6,Equipment failure,11
CFDARNC,CFDARNC - Animal Fluency: Reason Not Done,7,Other,0
CFDARNC,CFDARNC - Animal Fluency: Reason Not Done,.,Missing,1771
CFDAST,CFDAST - Animal Fluency: Score Total,3 to 39,Range of Values,1661
CFDAST,CFDAST - Animal Fluency: Score Total,.,Missing,124
CFDDPP,CFDDPP - Digit Symbol: Sample Practice Pretest,1,Passed,1592
CFDDPP,CFDDPP - Digit Symbol: Sample Practice Pretest,2,Failed,61
CFDDPP,CFDDPP - Digit Symbol: Sample Practice Pretest,3,Not done,33
CFDDPP,CFDDPP - Digit Symbol: Sample Practice Pretest,.,Missing,99
CFDDRNC,CFDDRNC - Digit Symbol: Reason Not Done,2,Communication problem,3
CFDDRNC,CFDDRNC - Digit Symbol: Reason Not Done,3,Physical limitation,7
CFDDRNC,CFDDRNC - Digit Symbol: Reason Not Done,5,Refused,23
CFDDRNC,CFDDRNC - Digit Symbol: Reason Not Done,6,Equipment failure,0
CFDDRNC,CFDDRNC - Digit Symbol: Reason Not Done,7,Other,0
CFDDRNC,CFDDRNC - Digit Symbol: Reason Not Done,.,Missing,1752
CFDDS,CFDDS - Digit Symbol: Score,0 to 105,Range of Values,1592
CFDDS,CFDDS - Digit Symbol: Score,.,Missing,193
CBD070,CBD070 - Money spent at supermarket/grocery store,0 to 4285,Range of Values,9850
CBD070,CBD070 - Money spent at supermarket/grocery store,777777,Refused,14
CBD070,CBD070 - Money spent at supermarket/grocery store,999999,Don't know,188
CBD070,CBD070 - Money spent at supermarket/grocery store,.,Missing,123
CBD090,CBD090 - Money spent on nonfood items,0 to 1542,Range of Values,9813
CBD090,CBD090 - Money spent on nonfood items,777777,Refused,14
CBD090,CBD090 - Money spent on nonfood items,999999,Don't know,216
CBD090,CBD090 - Money spent on nonfood items,.,Missing,132
CBD110,CBD110 - Money spent on food at other stores,0 to 2000,Range of Values,9979
CBD110,CBD110 - Money spent on food at other stores,777777,Refused,10
CBD110,CBD110 - Money spent on food at other stores,999999,Don't know,63
CBD110,CBD110 - Money spent on food at other stores,.,Missing,123
CBD120,CBD120 - Money spent on eating out,0 to 2142,Range of Values,9853
CBD120,CBD120 - Money spent on eating out,777777,Refused,16
CBD120,CBD120 - Money spent on eating out,999999,Don't know,183
CBD120,CBD120 - Money spent on eating out,.,Missing,123
CBD130,CBD130 - Money spent on carryout/delivered foods,0 to 1028,Range of Values,9979
CBD130,CBD130 - Money spent on carryout/delivered foods,777777,Refused,11
CBD130,CBD130 - Money spent on carryout/delivered foods,999999,Don't know,62
CBD130,CBD130 - Money spent on carryout/delivered foods,.,Missing,123
